url_length,dot_count,hyphen_count,has_at,uses_https,digit_count,special_char_count,keyword_count,has_ip,is_shortened,domain_length,domain_dot_count,subdomain_count,path_length,query_length,query_parameter_count,suspicious_tld,domain_letter_count,digit_ratio,vowel_count,consonant_count,unique_char_count,domain_entropy,label
38,2,1,0,1,3,4,0,0,0,29,2,1,1,0,0,0,23,0.10344827586206896,10,13,18,4.004364184708143,1
68,5,1,0,0,6,7,0,0,0,24,2,1,37,0,0,0,15,0.25,4,11,14,3.625814583693912,1
32,2,0,0,1,2,4,0,0,0,23,2,1,1,0,0,0,19,0.08695652173913043,8,11,14,3.6211755429194716,1
38,3,0,0,1,0,4,0,0,0,22,2,1,8,0,0,0,20,0.0,7,13,15,3.788754913993503,1
31,2,1,0,1,0,4,0,0,0,22,2,1,1,0,0,0,19,0.0,6,13,17,4.004886164091841,1
31,2,0,0,1,0,4,0,0,0,22,2,1,1,0,0,0,20,0.0,7,13,15,3.788754913993503,1
34,2,0,0,1,0,4,0,0,1,25,2,1,1,0,0,0,23,0.0,7,16,15,3.733660689688185,1
27,2,0,0,1,0,4,0,0,0,18,2,1,1,0,0,0,16,0.0,7,9,14,3.6835423624332306,1
30,2,0,0,1,0,4,0,0,0,21,2,1,1,0,0,0,19,0.0,8,11,13,3.4992275417233567,1
50,5,2,0,1,1,5,0,0,0,28,2,1,14,0,0,0,26,0.03571428571428571,8,18,14,3.6550455468258036,1
31,2,1,0,1,0,4,0,0,0,22,2,1,1,0,0,0,19,0.0,8,11,14,3.663532754804254,1
73,7,0,0,0,2,12,0,0,0,18,2,1,10,37,1,0,16,0.1111111111111111,6,10,11,3.3082708345352603,1
29,1,0,0,1,1,5,0,0,0,12,1,0,9,0,0,0,11,0.08333333333333333,5,6,10,3.2516291673878226,1
30,2,0,0,1,0,4,0,0,0,21,2,1,1,0,0,0,19,0.0,7,12,14,3.653756708287001,1
32,2,0,0,1,2,4,0,0,0,23,2,1,1,0,0,0,19,0.08695652173913043,7,12,17,4.001822825622231,1
73,9,3,0,1,11,5,0,0,0,56,6,5,9,0,0,0,36,0.19642857142857142,13,23,24,4.335861565023533,1
28,2,0,0,1,0,5,0,0,0,16,2,1,4,0,0,0,14,0.0,5,9,13,3.625,1
39,1,0,0,1,0,4,0,0,0,10,1,0,21,0,0,0,9,0.0,4,5,7,2.6464393446710153,1
35,2,2,0,1,1,4,1,0,0,26,2,1,1,0,0,0,21,0.038461538461538464,7,14,16,3.8252517372886503,1
35,2,0,0,1,0,5,0,0,0,12,1,0,15,0,0,0,11,0.0,4,7,10,3.2516291673878226,1
34,2,0,0,1,0,5,0,0,0,11,1,0,15,0,0,0,10,0.0,5,5,10,3.277613436819116,1
20,1,0,0,1,0,3,0,0,0,12,1,0,0,0,0,0,11,0.0,4,7,11,3.418295834054489,1
35,2,3,0,1,3,4,0,0,0,26,2,1,1,0,0,0,18,0.11538461538461539,9,9,16,3.8731406795131327,1
22,1,0,0,1,0,3,0,0,0,14,1,0,0,0,0,0,13,0.0,5,8,11,3.3248629576173574,1
19,1,0,0,1,0,3,0,0,0,11,1,0,0,0,0,0,10,0.0,4,6,10,3.277613436819116,1
21,1,0,0,1,0,3,0,0,0,13,1,0,0,0,0,0,12,0.0,6,6,10,3.238901256602631,1
22,1,0,0,1,0,3,0,0,1,14,1,0,0,0,0,0,13,0.0,5,8,10,3.182005814760214,1
21,1,0,0,1,0,3,0,0,0,13,1,0,0,0,0,0,12,0.0,5,7,10,3.238901256602631,1
22,1,0,0,1,0,3,0,0,0,14,1,0,0,0,0,0,13,0.0,6,7,12,3.521640636343319,1
36,2,0,0,1,6,4,0,0,0,23,2,1,5,0,0,0,15,0.2608695652173913,5,10,17,4.001822825622231,1
35,2,0,0,1,5,4,0,0,0,22,2,1,5,0,0,0,15,0.22727272727272727,5,10,17,4.004886164091841,1
20,3,0,0,0,10,3,0,1,0,13,3,2,0,0,0,0,0,0.7692307692307693,0,0,7,2.6612262562697895,1
66,4,3,0,1,9,6,0,0,0,18,1,0,40,0,0,0,17,0.5,8,9,10,3.155221528859512,1
73,5,2,0,1,5,8,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
21,3,0,0,0,11,3,0,1,0,14,3,2,0,0,0,0,0,0.7857142857142857,0,0,6,2.467720100474499,1
42,2,1,0,1,0,4,0,0,0,27,2,1,7,0,0,0,24,0.0,9,15,12,3.4397106501513597,1
73,5,1,0,1,3,6,0,0,0,39,2,1,26,0,0,0,36,0.07692307692307693,16,20,17,3.8103820282127496,1
23,1,1,0,1,0,3,0,0,0,15,1,0,0,0,0,0,13,0.0,2,11,12,3.4565647621309536,1
24,1,0,0,1,0,5,0,0,0,8,1,0,8,0,0,0,7,0.0,5,2,6,2.5,1
23,1,0,0,1,0,4,0,0,0,8,1,0,7,0,0,0,7,0.0,5,2,6,2.5,1
73,5,1,0,1,5,7,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
73,5,1,0,1,3,8,0,0,0,15,2,1,50,0,0,0,13,0.2,5,8,9,2.9735572622751856,1
73,4,1,0,1,5,5,0,0,0,19,1,0,46,0,0,0,17,0.2631578947368421,6,11,15,3.826874881864637,1
21,1,0,0,1,1,4,0,0,0,6,1,0,7,0,0,0,5,0.16666666666666666,2,3,6,2.584962500721156,1
52,4,1,0,1,0,6,1,0,0,11,1,0,33,0,0,0,9,0.0,2,7,9,3.095795255000934,1
20,1,1,0,1,0,4,0,0,0,11,1,0,1,0,0,0,9,0.0,4,5,8,2.845350936622437,1
73,6,4,0,1,23,4,0,0,0,43,2,1,22,0,0,0,17,0.5348837209302325,5,12,20,4.04426656946441,1
73,4,0,0,1,31,6,0,0,0,12,1,0,53,0,0,0,11,2.5833333333333335,6,5,10,3.251629167387823,1
35,3,0,0,1,0,5,0,0,0,12,2,1,15,0,0,0,10,0.0,2,8,10,3.2516291673878226,1
73,4,1,0,1,8,5,0,0,0,19,1,0,46,0,0,0,17,0.42105263157894735,6,11,15,3.826874881864637,1
73,4,1,0,1,5,5,0,0,0,19,1,0,46,0,0,0,17,0.2631578947368421,6,11,15,3.826874881864637,1
73,4,1,0,1,5,5,0,0,0,19,1,0,46,0,0,0,17,0.2631578947368421,6,11,15,3.826874881864637,1
52,4,3,0,1,0,5,0,0,0,17,1,0,27,0,0,0,15,0.0,6,9,10,3.1307179879273743,1
25,1,0,0,1,0,5,0,0,1,5,1,0,12,0,0,0,4,0.0,1,3,5,2.321928094887362,1
40,2,1,0,0,0,4,1,0,0,23,1,0,10,0,0,0,21,0.0,10,11,14,3.6424896731661263,1
35,2,0,0,1,8,4,0,0,0,19,2,1,8,0,0,0,11,0.42105263157894735,4,7,16,3.9321380397593737,1
39,3,0,0,1,0,6,0,0,0,21,3,2,10,0,0,0,18,0.0,5,13,14,3.6897037321995474,1
58,5,3,0,1,0,5,0,0,1,38,2,1,12,0,0,0,33,0.0,11,22,20,4.168465671110589,1
53,6,0,0,1,0,7,0,0,0,21,3,2,24,0,0,0,18,0.0,5,13,14,3.6897037321995474,1
